bill_id,people_id,position
1385593,14101,8
1385593,14104,7
1385593,14114,10
1385593,14117,11
1385593,14118,3
1385593,16280,5
1385593,18078,4
1385593,19487,6
1385593,19659,9
1385593,19733,2
1385594,1504,2
1385594,1507,3
1385594,14101,4
1385594,19727,1
1385594,19733,5
1385595,14104,6
1385595,14118,3
1385595,16282,1
1385595,16296,4
1385595,17428,7
1385595,19659,2
1385595,19717,5
1385753,14219,1
1385753,16303,2
1385754,18079,1
1385755,16308,1
1385756,14104,4
1385756,16296,2
1385756,16299,7
1385756,18078,3
1385756,19659,5
1385756,19733,1
1385756,21727,6
1385862,14103,1
1385863,16291,1
1385864,14091,8
1385864,14092,10
1385864,14096,15
1385864,14098,19
1385864,14100,23
1385864,14103,28
1385864,14104,21
1385864,14106,33
1385864,14107,35
1385864,14109,37
1385864,14110,41
1385864,14112,45
1385864,14113,49
1385864,14115,51
1385864,14116,52
1385864,14117,55
1385864,14118,58
1385864,14119,57
1385864,14120,60
1385864,14121,68
1385864,14122,69
1385864,14123,73
1385864,14219,53
1385864,16033,42
1385864,16087,63
1385864,16280,12
1385864,16282,17
1385864,16284,20
1385864,16286,25
1385864,16287,31
1385864,16288,32
1385864,16291,36
1385864,16293,40
1385864,16294,43
1385864,16295,46
1385864,16296,48
1385864,16297,54
1385864,16299,65
1385864,16303,76
1385864,16309,1
1385864,16316,47
1385864,17428,64
1385864,18063,18
1385864,18064,61
1385864,18065,38
1385864,18066,16
1385864,18067,2
1385864,18069,26
1385864,18071,39
1385864,18072,34
1385864,18073,7
1385864,18074,22
1385864,18077,29
1385864,18078,9
1385864,18080,72
1385864,19330,27
1385864,19459,4
1385864,19487,14
1385864,19658,30
1385864,19659,44
1385864,19716,5
1385864,19717,11
1385864,19719,56
1385864,19720,59
1385864,19721,62
1385864,19723,75
1385864,21440,50
1385864,21717,6
1385864,21718,24
1385864,21720,66
1385864,21721,70
1385864,21722,71
1385864,21723,74
1385864,22654,13
1385864,22851,67
1385864,22918,3
1385865,14112,3
1385865,14118,2
1385865,18079,1
1385866,16308,1
1386879,19733,1
1386880,1504,4
1386880,16282,2
1386880,18068,1
1386880,19487,5
1386880,19627,6
1386880,19723,3
1386881,1507,2
1386881,1552,45
1386881,11611,30
1386881,11612,31
1386881,14091,11
1386881,14092,13
1386881,14096,4
1386881,14099,19
1386881,14100,20
1386881,14101,23
1386881,14112,37
1386881,14114,41
1386881,14117,47
1386881,14118,48
1386881,14123,61
1386881,14125,64
1386881,14134,51
1386881,14219,43
1386881,16087,50
1386881,16221,33
1386881,16280,14
1386881,16286,22
1386881,16287,27
1386881,16288,28
1386881,16293,35
1386881,16295,38
1386881,16304,6
1386881,16305,8
1386881,16309,44
1386881,16316,39
1386881,17428,53
1386881,18063,16
1386881,18066,15
1386881,18067,5
1386881,18068,63
1386881,18069,24
1386881,18070,56
1386881,18074,18
1386881,18075,36
1386881,18077,26
1386881,18078,12
1386881,18080,60
1386881,19330,25
1386881,19627,34
1386881,19716,9
1386881,19719,3
1386881,19720,49
1386881,19723,62
1386881,19724,1
1386881,19725,7
1386881,19727,32
1386881,19728,57
1386881,19733,52
1386881,21374,29
1386881,21440,40
1386881,21718,21
1386881,21720,54
1386881,21721,58
1386881,21722,59
1386881,21724,10
1386881,21725,17
1386881,21727,42
1386881,21728,46
1386881,22851,55
1387073,14107,1
1387073,16295,2
1387074,14104,2
1387074,14107,13
1387074,14113,1
1387074,14124,6
1387074,16033,15
1387074,16087,19
1387074,16280,8
1387074,16282,11
1387074,16288,12
1387074,16294,4
